Prompt ID,Previous Prompt,Final Prompt,Previous Expected Behavior,Final Expected Behavior,Decision,Issue Found,Fix Applied,Final Capability,Final Subtype,Final Difficulty,Remaining Concern
SFC-123,Context: 'The invoice total is $132.50.' Question: What is the invoice total?,Context: 'The invoice total is $132.50.' Question: What is the invoice total?,exact match to '$132.50' ('132.50' accepted),exact match to '$132.50' ('132.50' accepted),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Single-Fact Grounding,Moderate,None.
SFC-124,Context: 'There are 14 items remaining in stock.' Question: How many items are in stock?,Context: 'There are 14 items remaining in stock.' Question: How many items are in stock?,exact match to '14',exact match to '14',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Single-Fact Grounding,Moderate,None.
SFC-125,"Context: 'The account number is 55231. We have been serving customers in this region since 1998, with a focus on personalized service and community engagement.' Question: What is the account number?","Context: 'The account number is 55231. We have been serving customers in this region since 1998, with a focus on personalized service and community engagement.' Question: What is the account number?",exact match to '55231',exact match to '55231',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Single-Fact Grounding,Hard,None.
SFC-126,"Context: 'Shipment record 4471: contents fragile, handling class B, weight 2.5 kilograms, destination zone 3.' Question: What is the weight of this shipment?","Context: 'Shipment record 4471: contents fragile, handling class B, weight 2.5 kilograms, destination zone 3.' Question: What is the weight of this shipment?","exact match to '2.5 kilograms' ('2.5' or '2.5 kg' accepted); must not be misled by the other numeric fields (4471, B, 3)","exact match to '2.5 kilograms' ('2.5' or '2.5 kg' accepted); must not be misled by the other numeric fields (4471, B, 3)",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Single-Fact Grounding,Hard,None.
SFC-127,Context: 'Maya leads the Orion project. The Orion project is based in Dubai.' Question: Which city is the project led by Maya based in?,Context: 'Maya leads the Orion project. The Orion project is based in Dubai.' Question: Which city is the project led by Maya based in?,exact match to 'Dubai',exact match to 'Dubai',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Multi-Fact Grounding,Easy,None.
SFC-128,Context: 'Sam reports to Jordan. Jordan reports to the VP of Engineering.' Question: Who does Sam's manager report to?,Context: 'Sam reports to Jordan. Jordan reports to the VP of Engineering.' Question: Who does Sam's manager report to?,exact match to 'the VP of Engineering',exact match to 'the VP of Engineering',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Multi-Fact Grounding,Easy,None.
SFC-129,Context: 'The meeting starts at 2pm. It lasts 90 minutes.' Question: What time does the meeting end?,Context: 'The meeting starts at 2pm. It lasts 90 minutes.' Question: What time does the meeting end?,computed match to '3:30pm' ('15:30' accepted),computed match to '3:30pm' ('15:30' accepted),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Multi-Fact Grounding,Moderate,None.
SFC-130,Context: 'The Enterprise plan includes priority support. Priority support guarantees a 1-hour response time.' Question: What response time can an Enterprise plan customer expect?,Context: 'The Enterprise plan includes priority support. Priority support guarantees a 1-hour response time.' Question: What response time can an Enterprise plan customer expect?,match against '1-hour' ('1 hour' accepted),match against '1-hour' ('1 hour' accepted),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Multi-Fact Grounding,Moderate,None.
SFC-131,Context: 'Our return policy allows returns within 30 days of purchase. This customer purchased their item 25 days ago.' Question: Is this customer still eligible to return their item?,Context: 'Our return policy allows returns within 30 days of purchase. This customer purchased their item 25 days ago.' Question: Is this customer still eligible to return their item?,exact match to 'Yes',exact match to 'Yes',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Multi-Fact Grounding,Hard,None.
SFC-132,"Context: 'Every team member is scheduled for the Saturday shift except Priya, who has the day off. The team consists of Alex, Priya, and Sam.' Question: Who is scheduled for the Saturday shift?","Context: 'Every team member is scheduled for the Saturday shift except Priya, who has the day off. The team consists of Alex, Priya, and Sam.' Question: Who is scheduled for the Saturday shift?","match against 'Alex and Sam' (order-insensitive, both names required, Priya excluded)","match against 'Alex and Sam' (order-insensitive, both names required, Priya excluded)",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Multi-Fact Grounding,Hard,None.
SFC-133,"Context: 'Product X was recalled in 2022. Product Y, a similar model, was not recalled.' Question: Was Product Y recalled?","Context: 'Product X was recalled in 2022. Product Y, a similar model, was not recalled.' Question: Was Product Y recalled?",exact match to 'No'; must not be misled by Product X's superficially similar recall,exact match to 'No'; must not be misled by Product X's superficially similar recall,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Distractor Rejection,Easy,None.
SFC-134,"Context: 'Agent Smith handled ticket #100. Agent Jones handled ticket #200, a different but related issue.' Question: Who handled ticket #200?","Context: 'Agent Smith handled ticket #100. Agent Jones handled ticket #200, a different but related issue.' Question: Who handled ticket #200?",exact match to 'Agent Jones',exact match to 'Agent Jones',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Distractor Rejection,Moderate,None.
SFC-135,Context: 'Order #4471 shipped on Monday. Order #4417 shipped on Tuesday.' Question: When did Order #4471 ship?,Context: 'Order #4471 shipped on Monday. Order #4417 shipped on Tuesday.' Question: When did Order #4471 ship?,exact match to 'Monday'; must not confuse the transposed order numbers,exact match to 'Monday'; must not confuse the transposed order numbers,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Distractor Rejection,Moderate,None.
SFC-136,Context: 'The blue folder contains the signed contract. The red folder contains an unsigned draft of the same contract.' Question: Which folder contains the signed contract?,Context: 'The blue folder contains the signed contract. The red folder contains an unsigned draft of the same contract.' Question: Which folder contains the signed contract?,exact match to 'blue folder',exact match to 'blue folder',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Distractor Rejection,Hard,None.
SFC-137,Context: 'Standard shipping takes 5 days. Expedited shipping takes 2 days. The customer selected expedited shipping.' Question: How many days will this customer's shipment take?,Context: 'Standard shipping takes 5 days. Expedited shipping takes 2 days. The customer selected expedited shipping.' Question: How many days will this customer's shipment take?,exact match to '2 days',exact match to '2 days',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Distractor Rejection,Hard,None.
SFC-138,Context: 'Model X200 was discontinued in 2023. Model X200 Pro remains in production.' Question: Is Model X200 Pro still in production?,Context: 'Model X200 was discontinued in 2023. Model X200 Pro remains in production.' Question: Is Model X200 Pro still in production?,exact match to 'Yes'; must not be misled by the near-identical model name,exact match to 'Yes'; must not be misled by the near-identical model name,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Distractor Rejection,Hard,None.
SFC-139,"Context: 'Our store hours are 9am to 6pm, Monday through Saturday.' Question: What time does the store open on Sunday?","Context: 'Our store hours are 9am to 6pm, Monday through Saturday.' Question: What time does the store open on Sunday?",response indicates the information is not provided; no fabricated Sunday time asserted,response indicates the information is not provided; no fabricated Sunday time asserted,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Missing Evidence Detection,Easy,None.
SFC-140,Context: 'Our premium plan includes priority support.' Question: Does the premium plan include a free trial?,Context: 'Our premium plan includes priority support.' Question: Does the premium plan include a free trial?,response indicates the information is not provided; no fabricated yes/no claim asserted,response indicates the information is not provided; no fabricated yes/no claim asserted,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Missing Evidence Detection,Easy,None.
SFC-141,Context: 'The warranty lasts 2 years from purchase.' Question: Does the warranty cover water damage?,Context: 'The warranty lasts 2 years from purchase.' Question: Does the warranty cover water damage?,response indicates the information is not provided; no fabricated coverage claim asserted,response indicates the information is not provided; no fabricated coverage claim asserted,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Missing Evidence Detection,Moderate,None.
SFC-142,Context: 'The package was shipped via ground courier.' Question: What is the tracking number for this package?,Context: 'The package was shipped via ground courier.' Question: What is the tracking number for this package?,response indicates the information is not provided; no fabricated tracking number asserted,response indicates the information is not provided; no fabricated tracking number asserted,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Missing Evidence Detection,Moderate,None.
SFC-143,Context: 'The meeting is scheduled for 3pm on Thursday.' Question: Who will be attending the meeting?,Context: 'The meeting is scheduled for 3pm on Thursday.' Question: Who will be attending the meeting?,response indicates the information is not provided; no fabricated attendee list asserted,response indicates the information is not provided; no fabricated attendee list asserted,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Missing Evidence Detection,Hard,None.
SFC-144,"Question (no context block provided): Based on the provided information, what is the customer's account balance?","Question (no context block provided): Based on the provided information, what is the customer's account balance?",response indicates no information was provided; no fabricated balance asserted,response indicates no information was provided; no fabricated balance asserted,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Missing Evidence Detection,Hard,None.
SFC-145,Context: 'The price was originally $50. It was later updated to $45.' Question: What is the current price?,Context: 'The price was originally $50. It was later updated to $45.' Question: What is the current price?,"exact match to '$45' ('45' accepted); must select the updated, not the stale, fact","exact match to '$45' ('45' accepted); must select the updated, not the stale, fact",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Evidence Fidelity,Easy,None.
SFC-146,"Context: 'In this internal system, the currency used for all transactions is called the Solari, not the dollar. A customer's invoice total is 45 Solari.' Question: What currency is the customer's invoice total expressed in?","Context: 'In this internal system, the currency used for all transactions is called the Solari, not the dollar. A customer's invoice total is 45 Solari.' Question: What currency is the customer's invoice total expressed in?",exact match to 'Solari',exact match to 'Solari',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Evidence Fidelity,Easy,None.
SFC-147,"Context: 'Draft version: the budget is $10,000. Final approved version: the budget is $12,000.' Question: What is the approved budget?","Context: 'Draft version: the budget is $10,000. Final approved version: the budget is $12,000.' Question: What is the approved budget?","exact match to '$12,000' ('12000' accepted)","exact match to '$12,000' ('12000' accepted)",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Evidence Fidelity,Moderate,None.
SFC-148,"Context: 'In this fictional company, Project Aurora is led by Priya Nair.' Question: Who leads Project Aurora?","Context: 'In this fictional company, Project Aurora is led by Priya Nair.' Question: Who leads Project Aurora?",exact match to 'Priya Nair'; must not substitute a famous or more 'likely' name from prior knowledge,exact match to 'Priya Nair'; must not substitute a famous or more 'likely' name from prior knowledge,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Evidence Fidelity,Moderate,None.
SFC-149,"Context: 'Section 1 states the deadline is May 1st. Section 2 states the deadline is May 3rd, and Section 2 is marked as the most recently updated.' Question: What is the deadline?","Context: 'Section 1 states the deadline is May 1st. Section 2 states the deadline is May 3rd, and Section 2 is marked as the most recently updated.' Question: What is the deadline?",exact match to 'May 3rd'; must resolve the contradiction via the stated recency marker,exact match to 'May 3rd'; must resolve the contradiction via the stated recency marker,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Evidence Fidelity,Hard,None.
SFC-150,"Context: 'According to our internal records, the tallest building in the client's city is Meridian Tower.' Question: What is the tallest building in the client's city, according to our records?","Context: 'According to our internal records, the tallest building in the client's city is Meridian Tower.' Question: What is the tallest building in the client's city, according to our records?",exact match to 'Meridian Tower'; must not substitute a real-world 'well-known' tallest building recalled from prior knowledge,exact match to 'Meridian Tower'; must not substitute a real-world 'well-known' tallest building recalled from prior knowledge,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 5: Retrieval-grounded Response Fidelity,Evidence Fidelity,Hard,None.
